股票代码,买入日期,买入价格,卖出日期,卖出价格,股数,盈亏(元),盈亏(%),持仓天数,卖出原因
603105,2023-01-13,18.09,2023-02-03,16.4,6800,-11636.98,-9.46%,21,硬止损: 跌至16.42 <= 止损16.64
002188,2023-01-18,8.26,2023-02-08,7.54,11400,-8319.74,-8.84%,21,硬止损: 跌至7.55 <= 止损7.60
002642,2023-01-20,8.74,2023-02-13,9.12,6000,2208.86,4.21%,24,硬止损: 跌至9.13 <= 止损9.18
603937,2023-01-16,12.44,2023-02-17,12.51,8700,467.51,0.43%,32,时间止损: 持有20天仅涨0.6%
601567,2023-01-18,12.38,2023-02-17,11.36,7600,-7864.24,-8.36%,30,硬止损: 跌至11.37 <= 止损11.39
002690,2023-01-19,25.05,2023-02-22,24.97,2900,-326.14,-0.45%,34,时间止损: 持有20天仅涨-0.2%
002439,2023-01-20,29.71,2023-02-23,28.66,1800,-1957.06,-3.66%,34,时间止损: 持有20天仅涨-3.4%
688335,2023-02-06,15.25,2023-02-28,15.46,3500,664.66,1.25%,22,从高点17.67回撤12.4%，保护利润
688358,2023-02-09,38.14,2023-02-28,32.97,1500,-7819.29,-13.67%,19,硬止损: 跌至33.00 <= 止损35.09
600160,2023-02-14,16.38,2023-03-14,16.98,3600,2080.53,3.53%,28,硬止损: 跌至17.00 <= 止损17.20
300645,2023-01-19,26.65,2023-03-16,27.91,2700,3304.04,4.59%,56,硬止损: 跌至27.94 <= 止损27.98
600838,2023-12-18,8.11,2023-12-26,7.35,14600,-11235.5,-9.49%,8,硬止损: 跌至7.36 <= 止损7.46
603607,2023-12-18,15.82,2024-01-04,16.36,7400,3838.62,3.28%,17,硬止损: 跌至16.38 <= 止损16.61
001226,2023-12-19,34.73,2024-01-15,35.91,2600,2946.62,3.26%,27,硬止损: 跌至35.95 <= 止损36.47
301285,2024-01-26,16.44,2024-02-28,18.1,7200,11782.58,9.95%,33,硬止损: 跌至18.12 <= 止损18.91
002189,2025-02-11,21.93,2025-02-18,19.65,5600,-12911.05,-10.51%,7,硬止损: 跌至19.67 <= 止损20.18
688095,2025-02-11,78.49,2025-02-27,71.45,1500,-10699.33,-9.09%,16,硬止损: 跌至71.52 <= 止损72.21
600990,2025-02-11,24.33,2025-02-28,21.86,4900,-12242.25,-10.27%,17,硬止损: 跌至21.88 <= 止损22.38
688588,2025-02-11,14.93,2025-02-28,13.16,8000,-14296.86,-11.97%,17,硬止损: 跌至13.17 <= 止损13.74
300409,2025-02-13,15.3,2025-03-07,17.12,2800,5033.68,11.75%,22,从高点19.62回撤12.6%，保护利润
600237,2025-02-11,7.14,2025-03-13,7.27,17100,2061.39,1.69%,30,时间止损: 持有23天仅涨2.0%
301050,2025-02-12,53.8,2025-03-21,53.82,800,-39.97,-0.09%,37,时间止损: 持有28天仅涨0.1%
002074,2025-02-14,22.11,2025-03-21,22.4,1600,417.41,1.18%,35,时间止损: 持有26天仅涨1.4%
300446,2025-02-20,18.0,2025-04-07,18.38,2500,890.26,1.98%,46,硬止损: 跌至18.40 <= 止损18.90
603101,2025-04-14,7.84,2025-05-14,7.61,15000,-3598.39,-3.06%,30,时间止损: 持有20天仅涨-2.8%
688048,2025-05-12,61.69,2025-05-15,53.55,1400,-11493.46,-13.31%,3,硬止损: 跌至53.60 <= 止损56.75
603890,2025-05-07,11.97,2025-05-28,11.78,8400,-1724.64,-1.72%,21,硬止损: 跌至11.79 <= 止损11.97
688080,2025-05-26,45.1,2025-06-13,47.26,2200,4616.84,4.65%,18,硬止损: 跌至47.31 <= 止损47.36
603045,2025-06-11,18.03,2025-06-17,16.38,3100,-5181.01,-9.27%,6,硬止损: 跌至16.40 <= 止损16.59
301063,2025-06-09,27.12,2025-06-19,28.86,3700,6299.18,6.28%,10,硬止损: 跌至28.89 <= 止损29.83
002167,2025-06-10,9.56,2025-06-19,9.4,8100,-1394.98,-1.80%,9,硬止损: 跌至9.41 <= 止损9.56
002690,2025-06-11,17.94,2025-07-01,16.59,3200,-4389.01,-7.65%,20,Stage 3 预警: 连续3天收于50日均线下方
301165,2025-06-09,52.55,2025-07-02,57.43,1900,9130.15,9.14%,23,硬止损: 跌至57.49 <= 止损57.80
000590,2025-06-17,10.23,2025-07-10,13.31,2400,7350.47,29.94%,23,部分止盈(盈利30.2%达到部分止盈目标20%)
688519,2025-06-24,40.75,2025-07-10,41.66,1600,1369.35,2.10%,16,硬止损: 跌至41.70 <= 止损42.79
000590,2025-06-17,10.23,2025-07-14,13.85,2400,8644.79,35.21%,27,长上影线冲高回落: 上影1.24 > 实体0.03×2
600173,2025-07-15,7.27,2025-07-16,6.66,11600,-7176.43,-8.51%,1,硬止损: 跌至6.67 <= 止损6.69
688208,2025-06-11,29.11,2025-07-29,35.53,900,5736.43,21.90%,48,部分止盈(盈利22.2%达到部分止盈目标20%)
301037,2025-06-25,12.82,2025-08-11,15.76,4600,13429.76,22.77%,47,高潮顶: 成交量4.9x均量 + 振幅4.0x均幅
603912,2025-07-17,9.0,2025-08-13,11.01,6000,11974.12,22.17%,27,高潮顶: 成交量4.1x均量 + 振幅2.9x均幅
600237,2025-07-15,7.52,2025-08-14,7.64,11700,1287.8,1.46%,30,时间止损: 持有23天仅涨1.7%
688208,2025-06-11,29.11,2025-08-18,36.21,1000,7052.93,24.23%,68,铁轨反转: 昨涨3.6%+今跌-3.6%
605155,2025-06-10,11.82,2025-08-19,14.58,6500,17816.8,23.19%,70,高潮顶: 成交量3.2x均量 + 振幅3.4x均幅
301323,2025-08-12,54.48,2025-08-21,57.69,1100,3448.5,5.75%,9,从高点65.85回撤12.3%，保护利润
301028,2025-08-15,13.54,2025-08-25,14.17,4700,2874.42,4.52%,10,硬止损: 跌至14.18 <= 止损14.22
600455,2025-06-18,26.73,2025-08-27,27.11,1800,620.56,1.29%,70,时间止损: 持有51天仅涨1.5%
301285,2025-07-15,33.93,2025-09-02,48.95,2500,37390.91,44.08%,49,从高点57.23回撤14.4%，保护利润
688080,2025-08-20,51.13,2025-09-02,54.52,1200,3982.95,6.49%,13,硬止损: 跌至54.57 <= 止损56.24
300286,2025-08-19,23.2,2025-09-03,23.16,2600,-182.28,-0.30%,15,硬止损: 跌至23.18 <= 止损23.20
000156,2025-08-14,8.22,2025-09-05,8.06,7500,-1278.58,-2.07%,22,Stage 3 预警: 连续3天收于50日均线下方
688789,2025-08-22,77.58,2025-09-09,70.79,800,-5505.62,-8.87%,18,硬止损: 跌至70.86 <= 止损71.37
688015,2025-07-15,21.12,2025-09-11,26.57,4100,22203.38,25.64%,58,高潮顶: 成交量3.2x均量 + 振幅2.9x均幅
002690,2025-08-27,20.02,2025-09-30,20.24,3400,658.54,0.97%,34,时间止损: 持有25天仅涨1.2%
000789,2025-10-10,6.04,2025-10-20,5.95,20600,-2013.34,-1.62%,10,Stage 3 预警: 连续3天收于50日均线下方
300585,2025-09-02,16.49,2025-10-24,21.07,1900,8649.96,27.61%,52,部分止盈(盈利27.9%达到部分止盈目标20%)
600604,2025-10-10,6.06,2025-10-24,6.5,20100,8674.16,7.12%,14,硬止损: 跌至6.51 <= 止损6.67
300585,2025-09-02,16.49,2025-10-27,20.23,1900,7056.03,22.52%,55,铁轨反转: 昨涨9.8%+今跌-3.4%
600792,2025-10-13,3.87,2025-10-30,4.44,23400,13202.94,14.58%,17,硬止损: 跌至4.44 <= 止损4.45
